availabilityResults,AppAvailabilityResults
browserTimings,AppBrowserTimings
dependencies,AppDependencies
customEvents,AppEvents
customMetrics,AppMetrics
pageViews,AppPageViews
performanceCounters,AppPerformanceCounters
requests,AppRequests
exceptions,AppExceptions
traces,AppTraces
appId,ResourceGUID
application_Version,AppVersion
appName,(removed)
client_Browser,ClientBrowser
client_City,ClientCity
client_CountryOrRegion,ClientCountryOrRegion
client_IP,ClientIP
client_Model,ClientModel
client_OS,ClientOS
client_StateOrProvince,ClientStateOrProvince
client_Type,ClientType
cloud_RoleInstance,AppRoleInstance
cloud_RoleName,AppRoleName
customDimensions,Properties
customMeasurements,Measurements
duration,DurationMs
id,Id
iKey,IKey
itemCount,ItemCount
itemId,(removed)
itemType,Type
location,Location
message,Message
name,Name
operation_Id,OperationId
operation_Name,OperationName
operation_ParentId,ParentId
operation_SyntheticSource,SyntheticSource
performanceBucket,PerformanceBucket
sdkVersion,SDKVersion
session_Id,SessionId
size,Size
success,Success
timestamp,TimeGenerated
user_AccountId,UserAccountId
user_AuthenticatedId,UserAuthenticatedId
user_Id,UserId
appId,ResourceGUID
application_Version,AppVersion
appName,(removed)
client_Browser,ClientBrowser
client_City,ClientCity
client_CountryOrRegion,ClientCountryOrRegion
client_IP,ClientIP
client_Model,ClientModel
client_OS,ClientOS
client_StateOrProvince,ClientStateOrProvince
client_Type,ClientType
cloud_RoleInstance,AppRoleInstance
cloud_RoleName,AppRoleName
customDimensions,Properties
customMeasurements,Measurements
iKey,IKey
appId,ResourceGUID
application_Version,AppVersion
appName,(removed)
client_Browser,ClientBrowser
client_City,ClientCity
client_CountryOrRegion,ClientCountryOrRegion
client_IP,ClientIP
client_Model,ClientModel
client_OS,ClientOS
client_StateOrProvince,ClientStateOrProvince
client_Type,ClientType
cloud_RoleInstance,AppRoleInstance
cloud_RoleName,AppRoleName
customDimensions,Properties
customMeasurements,Measurements
data,Data
duration,DurationMs
id,Id
iKey,IKey
itemCount,ItemCount
itemId,(removed)
itemType,Type
name,Name
operation_Id,OperationId
operation_Name,OperationName
operation_ParentId,ParentId
operation_SyntheticSource,SyntheticSource
performanceBucket,PerformanceBucket
resultCode,ResultCode
sdkVersion,SDKVersion
session_Id,SessionId
success,Success
target,Target
timestamp,TimeGenerated
type,DependencyType
user_AccountId,UserAccountId
user_AuthenticatedId,UserAuthenticatedId
user_Id,UserId
appId,ResourceGUID
application_Version,AppVersion
appName,(removed)
client_Browser,ClientBrowser
client_City,ClientCity
client_CountryOrRegion,ClientCountryOrRegion
client_IP,ClientIP
client_Model,ClientModel
client_OS,ClientOS
client_StateOrProvince,ClientStateOrProvince
client_Type,ClientType
cloud_RoleInstance,AppRoleInstance
cloud_RoleName,AppRoleName
customDimensions,Properties
customMeasurements,Measurements
iKey,IKey
itemCount,ItemCount
itemId,(removed)
itemType,Type
name,Name
operation_Id,OperationId
operation_Name,OperationName
operation_ParentId,ParentId
operation_SyntheticSource,SyntheticSource
sdkVersion,SDKVersion
session_Id,SessionId
timestamp,TimeGenerated
user_AccountId,UserAccountId
user_AuthenticatedId,UserAuthenticatedId
user_Id,UserId
appId,ResourceGUID
application_Version,AppVersion
appName,(removed)
client_Browser,ClientBrowser
client_City,ClientCity
client_CountryOrRegion,ClientCountryOrRegion
client_IP,ClientIP
client_Model,ClientModel
client_OS,ClientOS
client_StateOrProvince,ClientStateOrProvince
client_Type,ClientType
cloud_RoleInstance,AppRoleInstance
cloud_RoleName,AppRoleName
customDimensions,Properties
iKey,IKey
itemId,(removed)
itemType,Type
name,Name
operation_Id,OperationId
operation_Name,OperationName
operation_ParentId,ParentId
operation_SyntheticSource,SyntheticSource
sdkVersion,SDKVersion
session_Id,SessionId
timestamp,TimeGenerated
user_AccountId,UserAccountId
user_AuthenticatedId,UserAuthenticatedId
user_Id,UserId
value,(removed)
valueCount,ItemCount
valueMax,Max
valueMin,Min
valueSum,Sum
valueStdDev,(removed)
appId,ResourceGUID
application_Version,AppVersion
appName,(removed)
client_Browser,ClientBrowser
client_City,ClientCity
client_CountryOrRegion,ClientCountryOrRegion
client_IP,ClientIP
client_Model,ClientModel
client_OS,ClientOS
client_StateOrProvince,ClientStateOrProvince
client_Type,ClientType
